date,currency,rate
2018-08-06,USD,1
2018-08-06,LTC,0.013395847299999999
2018-08-06,GBP,0.76910999999999996
2018-08-06,EUR,0.86493500000000001
2018-08-06,ETH,0.0024427183000000001
2018-08-06,CAD,1.3014840000000001
2018-08-06,BTC,0.0001421157
2018-08-05,USD,1
2018-08-05,LTC,0.013555703400000001
2018-08-05,GBP,0.76893500000000004
2018-08-05,EUR,0.86351999999999995
2018-08-05,ETH,0.0024601173
2018-08-05,CAD,1.2998829999999999
2018-08-05,BTC,0.0001429255
2018-08-04,USD,1
2018-08-04,LTC,0.0132068957
2018-08-04,GBP,0.76893500000000004
2018-08-04,EUR,0.86351999999999995
2018-08-04,ETH,0.0024282142999999998
2018-08-04,CAD,1.2998829999999999
2018-08-04,BTC,0.0001379056
2018-08-03,USD,1
2018-08-03,LTC,0.013150612900000001
2018-08-03,GBP,0.76851999999999998
2018-08-03,EUR,0.86328400000000005
2018-08-03,ETH,0.0024416503000000002
2018-08-03,CAD,1.2983
2018-08-03,BTC,0.00013522799999999999
2018-08-02,USD,1
2018-08-02,LTC,0.013000247100000001
2018-08-02,GBP,0.76192800000000005
2018-08-02,EUR,0.85744900000000002
2018-08-02,ETH,0.0024074538000000002
2018-08-02,CAD,1.2999149999999999
2018-08-02,BTC,0.00013177889999999999
2018-08-01,USD,1
2018-08-01,LTC,0.0129135966
2018-08-01,GBP,0.76227999999999996
2018-08-01,EUR,0.85550499999999996
2018-08-01,ETH,0.0023775166999999999
2018-08-01,CAD,1.3019620000000001
2018-08-01,BTC,0.000132139
2018-07-31,USD,1
2018-07-31,LTC,0.012586647899999999
2018-07-31,GBP,0.76128700000000005
2018-07-31,EUR,0.85415300000000005
2018-07-31,ETH,0.0022698073000000001
2018-07-31,CAD,1.3027949999999999
2018-07-31,BTC,0.0001263763
2018-07-30,USD,1
2018-07-30,LTC,0.012071683200000001
2018-07-30,GBP,0.76276100000000002
2018-07-30,EUR,0.857684
2018-07-30,ETH,0.0021778094999999999
2018-07-30,CAD,1.306492
2018-07-30,BTC,0.0001229541
2018-07-29,USD,1
2018-07-29,LTC,0.011914180700000001
2018-07-29,GBP,0.763185
2018-07-29,EUR,0.85675100000000004
2018-07-29,ETH,0.0021465144000000001
2018-07-29,CAD,1.3074159999999999
2018-07-29,BTC,0.0001219319
2018-07-28,USD,1
2018-07-28,LTC,0.0119280811
2018-07-28,GBP,0.763185
2018-07-28,EUR,0.856715
2018-07-28,ETH,0.0021394460000000001
2018-07-28,CAD,1.305995
2018-07-28,BTC,0.00012230119999999999
2018-07-27,USD,1
2018-07-27,LTC,0.0119751441
2018-07-27,GBP,0.76285499999999995
2018-07-27,EUR,0.85881099999999999
2018-07-27,ETH,0.0021528335
2018-07-27,CAD,1.3069900000000001
2018-07-27,BTC,0.0001247706
2018-07-26,USD,1
2018-07-26,LTC,0.0115580074
2018-07-26,GBP,0.75761999999999996
2018-07-26,EUR,0.85192100000000004
2018-07-26,ETH,0.0021025798000000001
2018-07-26,CAD,1.303903
2018-07-26,BTC,0.00012210460000000001
2018-07-25,USD,1
2018-07-25,LTC,0.011487362100000001
2018-07-25,GBP,0.76048800000000005
2018-07-25,EUR,0.85582100000000005
2018-07-25,ETH,0.0021078362000000002
2018-07-25,CAD,1.315245
2018-07-25,BTC,0.0001211961
2018-07-24,USD,1
2018-07-24,LTC,0.011599722599999999
